DateTime,River,P00,P01,P02,P03,P04,P05,P06
03-Aug-2016 16:00:00,30.3475773195876,20.5,20.5,20.5,20.8,20.7824742268041,20.6886597938144,20.8309278350516
04-Aug-2016 16:00:00,30.6444536082474,20.5,20.5,20.5,20.8,20.7907216494845,20.658762886598,20.7886597938145
05-Aug-2016 16:00:00,30.28,20.5,20.5,20.520618556701,20.8701030927835,20.7896907216495,20.7082474226804,20.8494845360825
06-Aug-2016 16:00:00,30.2016288659794,20.540206185567,20.5185567010309,20.5958762886598,20.8865979381444,20.7865979381443,20.7536082474227,20.8546391752577
07-Aug-2016 16:00:00,30.2051958762887,20.5742268041237,20.5350515463918,20.6,20.8886597938145,20.7865979381443,20.7567010309278,20.8876288659794
08-Aug-2016 16:00:00,30.3929278350516,20.7360824742268,20.5680412371134,20.6680412371134,20.9886597938144,20.9329896907216,20.8969072164949,21.0154639175257
09-Aug-2016 16:00:00,30.314412371134,20.560824742268,20.5237113402062,20.5855670103093,20.7742268041237,20.7072164948454,20.7762886597938,20.9701030927835
10-Aug-2016 16:00:00,30.5317319587629,20.5917525773196,20.539175257732,20.6422680412371,20.8092783505154,20.7082474226804,20.7938144329897,20.9865979381443
11-Aug-2016 16:00:00,30.0629278350515,21.6257731958763,20.7103092783505,21.180412371134,21.0082474226804,20.7577319587629,20.9515463917526,21.0742268041237
12-Aug-2016 16:00:00,29.9568659793814,21.3762886597938,20.7216494845361,20.9639175257732,20.8969072164948,20.7835051546392,20.980412371134,21.1216494845361
13-Aug-2016 16:00:00,29.5800206185567,21.0969072164948,20.7113402061856,20.8979381443299,20.9216494845361,20.7969072164948,20.9567010309278,21.059793814433
14-Aug-2016 16:00:00,27.9966597938144,21.3886597938144,20.9762886597938,21.2051546391753,21.0525773195877,20.8896907216495,20.8876288659794,20.9536082474227
15-Aug-2016 16:00:00,26.7064845360825,22.5536082474227,21.5350515463918,22.3659793814433,24.0659793814433,21.5175257731959,20.8845360824742,20.9103092783505
16-Aug-2016 16:00:00,26.3743298969072,24.0525773195876,23.2628865979381,24.8247422680412,26.1216494845361,23.8505154639175,23.1958762886598,22.0752577319588
17-Aug-2016 16:00:00,26.4829484536082,22.0474226804124,21.6154639175258,22.6329896907216,24.659793814433,22.0319587628866,22.260824742268,21.4412371134021
18-Aug-2016 16:00:00,27.3556907216495,20.5876288659794,20.7329896907216,21.1814432989691,22.1463917525773,21.240206185567,21.2443298969072,21.2237113402062
19-Aug-2016 16:00:00,28.2152577319588,20.5,20.5298969072165,20.7711340206186,21.3134020618557,21.0051546391753,21.0432989690722,21.1639175257732
20-Aug-2016 16:00:00,26.4700412371134,22.1577319587629,21.3659793814433,22.7484536082474,24.4319587628866,22.2216494845361,21.3474226804124,21.0948453608247
21-Aug-2016 16:00:00,26.4148762886598,20.7463917525773,20.6793814432989,21.0917525773196,22.1515463917526,21.221649484536,21.3886597938144,21.1762886597938
22-Aug-2016 16:00:00,26.9116701030928,20.7731958762886,20.7144329896907,20.9907216494845,21.519587628866,21.2061855670103,21.2721649484536,21.1340206185567
23-Aug-2016 16:00:00,27.5295979381443,20.9711340206185,20.9309278350515,21.2536082474227,21.5752577319588,21.279381443299,21.179381443299,21.1257731958763
24-Aug-2016 16:00:00,27.8501752577319,22.0659793814433,21.201030927835,21.7639175257732,23.0453608247423,21.4979381443299,21.5536082474227,21.3164948453608
25-Aug-2016 16:00:00,28.2872989690722,20.5505154639175,20.579381443299,20.780412371134,21.2783505154639,21.1226804123711,21.4164948453608,21.3463917525773
26-Aug-2016 16:00:00,28.9946082474227,20.5,20.5,20.6195876288659,21.0515463917526,21.001030927835,21.1092783505154,21.2515463917526
27-Aug-2016 16:00:00,28.3115463917526,20.6701030927835,20.5855670103093,20.7371134020618,21.0855670103093,21.0505154639175,21.3443298969072,21.3030927835052
28-Aug-2016 16:00:00,28.0804742268041,20.5948453608247,20.5360824742268,20.6536082474226,21.0711340206186,21.040206185567,21.3175257731959,21.3164948453608
29-Aug-2016 16:00:00,28.0829278350515,20.6865979381443,20.5969072164948,20.7494845360825,21.0824742268041,21.0587628865979,21.3432989690722,21.3020618556701
30-Aug-2016 16:00:00,28.3501546391753,20.6463917525773,20.5670103092784,20.7092783505154,21.0587628865979,21.0515463917526,21.3175257731959,21.3061855670103
31-Aug-2016 16:00:00,28.6721134020619,20.5319587628866,20.5092783505155,20.6175257731958,21.0278350515464,20.9969072164949,21.3061855670103,21.3567010309278
01-Sep-2016 16:00:00,28.7512886597938,20.5412371134021,20.5092783505155,20.620618556701,20.9639175257732,20.9463917525774,21.2484536082474,21.3278350515464
02-Sep-2016 16:00:00,28.6201752577319,20.559793814433,20.5144329896907,20.6268041237113,20.9474226804124,20.9319587628866,21.2443298969072,21.340206185567
03-Sep-2016 16:00:00,28.777381443299,20.5752577319587,20.5113402061856,20.6226804123711,20.9257731958763,20.9175257731959,21.2092783505154,21.3319587628866
04-Sep-2016 16:00:00,28.5959381443299,20.6134020618556,20.519587628866,20.6298969072165,20.9226804123712,20.9144329896908,21.1835051546392,21.3319587628866
05-Sep-2016 16:00:00,28.2912886597938,20.6226804123711,20.520618556701,20.6309278350515,20.9247422680413,20.9144329896908,21.1896907216495,21.3309278350515
06-Sep-2016 16:00:00,28.7320618556701,20.6268041237113,20.5237113402062,20.6371134020618,20.9288659793815,20.9154639175258,21.1845360824742,21.3381443298969
07-Sep-2016 16:00:00,28.9807216494845,20.6164948453608,20.519587628866,20.6268041237113,20.9206185567011,20.9113402061856,21.1670103092783,21.3288659793814
08-Sep-2016 16:00:00,28.9161237113402,20.6268041237113,20.5319587628866,20.6432989690721,20.9288659793815,20.9123711340207,21.1721649484536,21.3494845360825
09-Sep-2016 16:00:00,28.7916391752577,20.6278350515464,20.539175257732,20.6494845360824,20.9402061855671,20.9226804123712,21.1783505154639,21.3319587628866
10-Sep-2016 16:00:00,28.039381443299,20.6247422680412,20.5412371134021,20.6422680412371,20.9268041237114,20.9113402061856,21.180412371134,21.3670103092783
11-Sep-2016 16:00:00,28.2770103092784,20.6113402061855,20.5288659793814,20.6237113402061,20.918556701031,20.9072164948454,21.141237113402,21.3432989690722
12-Sep-2016 16:00:00,28.4608556701031,20.6144329896907,20.5432989690722,20.6340206185567,20.959793814433,20.9082474226805,21.1525773195876,21.3515463917526
